condition,fold,round_id,catalog_candidate_count,catalog_removed_since_round1,catalog_removed_fraction,pool_size,previous_round_pool_overlap,previous_round_pool_jaccard,sampling_strategy,pool_utility_mean,pool_utility_max,selected_utility_mean,unselected_utility_mean,pool_evidence_mean,pool_uncertainty_mean
kg_base,0,1,119442,0,0,32,0,,knowledge_filtered,1.75508110181,2.16889795513,1.91210671874,1.59805548488,0.300646082876,0.944131530585
kg_base,0,2,119426,16,0.000133956229802,32,7,0.122807017544,knowledge_filtered,1.82801528259,2.45248085304,2.05910006663,1.59693049856,0.566801251455,0.621155918364
kg_base,0,3,119410,32,0.000267912459604,32,3,0.0491803278689,knowledge_filtered,1.63585964309,2.16309285273,1.78403999088,1.4876792953,0.466796929617,0.627607224118
kg_base,1,1,119442,0,0,32,0,,knowledge_filtered,1.83906967176,2.16459658303,1.90819294326,1.76994640026,0.272238248194,0.966153080579
kg_base,1,2,119426,16,0.000133956229802,32,2,0.0322580645161,knowledge_filtered,1.71008856208,2.41275866785,1.87342264733,1.54675447682,0.663350720254,0.460301532601
kg_base,1,3,119410,32,0.000267912459604,32,2,0.0322580645161,knowledge_filtered,1.66181964642,2.26299283386,1.82372930518,1.49990998765,0.58786711099,0.507398294705
kg_base,2,1,119442,0,0,32,0,,knowledge_filtered,1.84730681976,2.59229380074,1.95962749495,1.73498614457,0.387644659966,0.939617054376
kg_base,2,2,119426,16,0.000133956229802,32,3,0.0491803278689,knowledge_filtered,1.55458947965,2.33914733505,1.73331724261,1.37586171669,0.489481966432,0.519437072468
kg_base,2,3,119410,32,0.000267912459604,32,1,0.015873015873,knowledge_filtered,1.47810853683,2.35603805467,1.76375498066,1.19246209299,0.38962181474,0.394829129252
kg_base_al,0,1,119442,0,0,32,0,,knowledge_filtered,0.5,0.790322580645,0.634072580645,0.365927419355,0.422233241493,0.619888487509
kg_base_al,0,2,119426,16,0.000133956229802,32,11,0.207547169811,knowledge_filtered,0.5,0.822580645161,0.620967741935,0.379032258065,0.695717641542,0.408303513293
kg_base_al,0,3,119410,32,0.000267912459604,32,7,0.122807017544,knowledge_filtered,0.5,0.887096774194,0.633568548387,0.366431451613,0.609711104756,0.662509231819
kg_base_al,1,1,119442,0,0,32,0,,knowledge_filtered,0.5,0.854838709677,0.646673387097,0.353326612903,0.350711919391,0.589238944449
kg_base_al,1,2,119426,16,0.000133956229802,32,2,0.0322580645161,knowledge_filtered,0.5,0.83064516129,0.613407258065,0.386592741935,0.68870064246,0.422640346549
kg_base_al,1,3,119410,32,0.000267912459604,32,6,0.103448275862,knowledge_filtered,0.5,0.927419354839,0.665322580645,0.334677419355,0.59626003447,0.596106337347
kg_base_al,2,1,119442,0,0,32,0,,knowledge_filtered,0.5,0.790322580645,0.611391129032,0.388608870968,0.427185076415,0.619687833857
kg_base_al,2,2,119426,16,0.000133956229802,32,14,0.28,knowledge_filtered,0.5,0.83064516129,0.651713709677,0.348286290323,0.652699397508,0.454419264552
kg_base_al,2,3,119410,32,0.000267912459604,32,6,0.103448275862,knowledge_filtered,0.5,0.870967741935,0.664818548387,0.335181451613,0.568827262814,0.705627529992
kg_base_rag,0,1,119442,0,0,32,0,,knowledge_filtered,1.76976338647,2.5280355439,1.91372383011,1.62580294282,0.387086352129,0.774209676776
kg_base_rag,0,2,119426,16,0.000133956229802,32,11,0.207547169811,knowledge_filtered,1.51207437047,2.11644990372,1.71020180475,1.31394693618,0.623977224706,0.253715247903
kg_base_rag,0,3,119410,32,0.000267912459604,32,10,0.185185185185,knowledge_filtered,1.46882877187,2.29481088635,1.78400890222,1.15364864152,0.553228652463,0.291894747802
kg_base_rag,1,1,119442,0,0,32,0,,knowledge_filtered,1.64842329051,2.16459658303,1.67608699076,1.62075959026,0.320066818147,0.941339811619
kg_base_rag,1,2,119426,16,0.000133956229802,32,1,0.015873015873,knowledge_filtered,1.94249435056,3.12707405155,2.27524524603,1.60974345509,0.465244654809,0.915752005839
kg_base_rag,1,3,119410,32,0.000267912459604,32,10,0.185185185185,knowledge_filtered,1.43865742339,2.03117114796,1.67306320912,1.20425163766,0.449541185204,0.558723987032
kg_base_rag,2,1,119442,0,0,32,0,,knowledge_filtered,1.82428560368,2.59229380074,2.03324446722,1.61532674013,0.347243372643,0.881436548612
kg_base_rag,2,2,119426,16,0.000133956229802,32,11,0.207547169811,knowledge_filtered,1.94000263837,3.00096523268,2.15566763643,1.72433764032,0.630712794853,0.607631605333
kg_base_rag,2,3,119410,32,0.000267912459604,32,7,0.122807017544,knowledge_filtered,1.90203657428,2.74697119505,2.10657366109,1.69749948746,0.57233142761,0.758730823627
