condition,fold,round_id,preferred_site_count_mean,fraction_position_41_G,fraction_all_four_preferred,wet_mean_position_41_G,wet_mean_position_41_non_G,preferred_count_wet_pearson
kg_base,0,1,3.375,0.8125,0.5625,2.68680731643,0.0035885743557,0.743759393507
kg_base,0,2,3.125,0.6875,0.3125,2.02236224653,0.0700329206264,0.784357826347
kg_base,0,3,2.8125,0.3125,0,1.56514140288,0.936458457392,0.338905593856
kg_base,1,1,3.375,0.9375,0.4375,2.6885731629,2.03773137664,0.740301535626
kg_base,1,2,2.9375,0.75,0.375,3.33105394921,0.266070328746,0.903005724152
kg_base,1,3,2.75,0.5,0.1875,2.04995928424,0.0722814082027,0.599240121354
kg_base,2,1,3.3125,0.9375,0.5,2.42755134209,0.207726316909,0.78480444127
kg_base,2,2,3,0.5,0.125,2.02742857919,0.0175841139178,0.584829203339
kg_base,2,3,2.75,0.875,0,1.43146889992,0.131923457142,-0.0232477466516
kg_base_al,0,1,3.8125,1,0.8125,3.52116485017,,0.272234025672
kg_base_al,0,2,3.3125,0.8125,0.4375,2.47523227572,0.00530694429721,0.684148577464
kg_base_al,0,3,2.9375,0.75,0.125,1.86653757653,0.0701962730712,0.642542864157
kg_base_al,1,1,3.5625,1,0.5625,3.27527013646,,0.684427689829
kg_base_al,1,2,3.1875,0.75,0.3125,2.82926218884,1.12651747734,0.830551995207
kg_base_al,1,3,3.3125,0.9375,0.375,2.12195980425,0.00367224930928,0.532891894278
kg_base_al,2,1,3.75,1,0.75,3.19657594052,,0.575049679697
kg_base_al,2,2,3.3125,0.8125,0.4375,2.49337340878,0.265824567242,0.703186095804
kg_base_al,2,3,2.875,0.9375,0.0625,2.38038151166,0.00840349847298,0.0640679167037
kg_base_rag,0,1,3.4375,0.9375,0.5625,2.7539418416,0.581408643642,0.70500444679
kg_base_rag,0,2,3.25,0.6875,0.5,3.2561875056,0.0145321242958,0.83472016605
kg_base_rag,0,3,2.875,0.625,0.1875,2.25929488224,1.03228040498,0.521841014461
kg_base_rag,1,1,3.0625,0.6875,0.1875,1.50353771188,1.14536604726,0.373607163572
kg_base_rag,1,2,2.9375,0.375,0.25,3.06990921004,1.53818124321,0.599859883674
kg_base_rag,1,3,2.75,0.375,0.125,1.55638663843,0.369101605568,0.65639763086
kg_base_rag,2,1,2.875,0.875,0.25,2.82099825942,0.014013762534,0.759789931124
kg_base_rag,2,2,3.1875,0.75,0.5625,3.13960722159,0.0614729696468,0.909619615047
kg_base_rag,2,3,3.1875,0.6875,0.3125,2.10265442157,0.0160559771939,0.72321461742
