condition,fold,round_id,run_id,sampling_strategy,catalog_remaining,candidate_pool_size,selected_batch_size,candidate_pool_mutated_positions_json,selected_mutated_positions_json,candidate_pool_unique_mutated_position_count,selected_unique_mutated_position_count,scientist_preferred_position_count,scientist_covers_all_configured_positions,scientist_preferred_residues_json,candidate_depth_1_count,candidate_depth_2_count,candidate_depth_3_count,candidate_depth_4_count,selected_depth_1_count,selected_depth_2_count,selected_depth_3_count,selected_depth_4_count,selected_mean_mutation_count,selected_min_mutation_count,selected_max_mutation_count,new_complete_variant_count_vs_pre_round_visible,new_mutated_position_count_vs_pre_round_visible,new_position_residue_pair_count_vs_pre_round_visible,new_mutated_position_count_vs_campaign_selected,new_position_residue_pair_count_vs_campaign_selected,hamming_one_from_previous_round_count,strict_add_one_from_previous_round_count,candidate_pool_receipt_path,scientist_conversation_path
fitness_direct,0,1,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,stable_uniform,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,2,2,28,0,1,1,14,3.8125,2,4,16,0,0,4,41,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z/round_01/candidate_pool_receipt.json,
fitness_direct,0,2,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,stable_uniform,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,0,3,29,0,0,2,14,3.875,3,4,16,0,0,0,19,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z/round_02/candidate_pool_receipt.json,
fitness_direct,0,3,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,stable_uniform,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,3,9,20,0,2,7,7,3.3125,2,4,16,0,0,0,7,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z/round_03/candidate_pool_receipt.json,
fitness_direct,1,1,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,stable_uniform,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,0,8,24,0,0,3,13,3.8125,3,4,16,0,0,4,42,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z/round_01/candidate_pool_receipt.json,
fitness_direct,1,2,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,stable_uniform,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,0,5,27,0,0,4,12,3.75,3,4,16,0,0,0,15,1,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z/round_02/candidate_pool_receipt.json,
fitness_direct,1,3,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,stable_uniform,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,0,7,25,0,0,4,12,3.75,3,4,16,0,0,0,9,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z/round_03/candidate_pool_receipt.json,
fitness_direct,2,1,fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z,stable_uniform,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,1,10,21,0,1,7,8,3.4375,2,4,16,0,0,4,38,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z/round_01/candidate_pool_receipt.json,
fitness_direct,2,2,fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z,stable_uniform,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,0,4,28,0,0,2,14,3.875,3,4,16,0,0,0,21,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z/round_02/candidate_pool_receipt.json,
fitness_direct,2,3,fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z,stable_uniform,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,0,False,{},0,1,4,27,0,0,3,13,3.8125,3,4,16,0,0,0,7,0,0,artifacts/random-fitness-direct-s42-al96-collected-20260820T102640Z/runs/fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z/round_03/candidate_pool_receipt.json,
kg_base,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,knowledge_filtered,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""I"",""L""],""40"":[""Y"",""W"",""F"",""H"",""A""],""41"":[""G""],""54"":[""A"",""C""]}",0,2,21,9,0,0,13,3,3.1875,3,4,16,0,0,4,15,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""I"",""L""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A""]}",0,2,19,11,0,0,11,5,3.3125,3,4,16,0,0,0,12,10,1,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json
