condition,round_id,metric,mean,sd,min,max,n_folds
fitness_direct,1,candidate_depth_1_count,0,0,0,0,3
fitness_direct,1,candidate_depth_2_count,1,1,0,2,3
fitness_direct,1,candidate_depth_3_count,6.66666666667,4.16333199893,2,10,3
fitness_direct,1,candidate_depth_4_count,24.3333333333,3.51188458428,21,28,3
fitness_direct,1,candidate_pool_size,32,0,32,32,3
fitness_direct,1,candidate_pool_unique_mutated_position_count,4,0,4,4,3
fitness_direct,1,catalog_remaining,119442,0,119442,119442,3
fitness_direct,1,hamming_one_from_previous_round_count,0,0,0,0,3
fitness_direct,1,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
fitness_direct,1,new_mutated_position_count_vs_campaign_selected,4,0,4,4,3
fitness_direct,1,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
fitness_direct,1,new_position_residue_pair_count_vs_campaign_selected,40.3333333333,2.08166599947,38,42,3
fitness_direct,1,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
fitness_direct,1,scientist_preferred_position_count,0,0,0,0,3
fitness_direct,1,selected_batch_size,16,0,16,16,3
fitness_direct,1,selected_depth_1_count,0,0,0,0,3
fitness_direct,1,selected_depth_2_count,0.666666666667,0.57735026919,0,1,3
fitness_direct,1,selected_depth_3_count,3.66666666667,3.0550504633,1,7,3
fitness_direct,1,selected_depth_4_count,11.6666666667,3.21455025366,8,14,3
fitness_direct,1,selected_mean_mutation_count,3.6875,0.216506350946,3.4375,3.8125,3
fitness_direct,1,selected_unique_mutated_position_count,4,0,4,4,3
fitness_direct,1,strict_add_one_from_previous_round_count,0,0,0,0,3
fitness_direct,2,candidate_depth_1_count,0,0,0,0,3
fitness_direct,2,candidate_depth_2_count,0,0,0,0,3
fitness_direct,2,candidate_depth_3_count,4,1,3,5,3
fitness_direct,2,candidate_depth_4_count,28,1,27,29,3
fitness_direct,2,candidate_pool_size,32,0,32,32,3
fitness_direct,2,candidate_pool_unique_mutated_position_count,4,0,4,4,3
fitness_direct,2,catalog_remaining,119426,0,119426,119426,3
fitness_direct,2,hamming_one_from_previous_round_count,0.333333333333,0.57735026919,0,1,3
fitness_direct,2,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
fitness_direct,2,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
fitness_direct,2,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
fitness_direct,2,new_position_residue_pair_count_vs_campaign_selected,18.3333333333,3.0550504633,15,21,3
fitness_direct,2,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
fitness_direct,2,scientist_preferred_position_count,0,0,0,0,3
fitness_direct,2,selected_batch_size,16,0,16,16,3
fitness_direct,2,selected_depth_1_count,0,0,0,0,3
fitness_direct,2,selected_depth_2_count,0,0,0,0,3
fitness_direct,2,selected_depth_3_count,2.66666666667,1.15470053838,2,4,3
fitness_direct,2,selected_depth_4_count,13.3333333333,1.15470053838,12,14,3
fitness_direct,2,selected_mean_mutation_count,3.83333333333,0.0721687836487,3.75,3.875,3
fitness_direct,2,selected_unique_mutated_position_count,4,0,4,4,3
fitness_direct,2,strict_add_one_from_previous_round_count,0,0,0,0,3
fitness_direct,3,candidate_depth_1_count,0,0,0,0,3
fitness_direct,3,candidate_depth_2_count,1.33333333333,1.52752523165,0,3,3
fitness_direct,3,candidate_depth_3_count,6.66666666667,2.51661147842,4,9,3
