fold,round_id,condition_a,condition_b,n_a,n_b,overlap,jaccard
0,1,random,fitness_direct,32,32,32,1
0,1,random,agent_only,32,32,0,0
0,1,random,kg_base,32,32,0,0
0,1,random,kg_3features_base,32,32,0,0
0,1,random,kg_base_rag,32,32,0,0
0,1,random,kg_3features_rag,32,32,0,0
0,1,random,kg_base_al,32,32,0,0
0,1,fitness_direct,agent_only,32,32,0,0
0,1,fitness_direct,kg_base,32,32,0,0
0,1,fitness_direct,kg_3features_base,32,32,0,0
0,1,fitness_direct,kg_base_rag,32,32,0,0
0,1,fitness_direct,kg_3features_rag,32,32,0,0
0,1,fitness_direct,kg_base_al,32,32,0,0
0,1,agent_only,kg_base,32,32,16,0.333333333333
0,1,agent_only,kg_3features_base,32,32,11,0.207547169811
0,1,agent_only,kg_base_rag,32,32,12,0.230769230769
0,1,agent_only,kg_3features_rag,32,32,10,0.185185185185
0,1,agent_only,kg_base_al,32,32,15,0.30612244898
0,1,kg_base,kg_3features_base,32,32,11,0.207547169811
0,1,kg_base,kg_base_rag,32,32,9,0.163636363636
0,1,kg_base,kg_3features_rag,32,32,11,0.207547169811
0,1,kg_base,kg_base_al,32,32,11,0.207547169811
0,1,kg_3features_base,kg_base_rag,32,32,23,0.560975609756
0,1,kg_3features_base,kg_3features_rag,32,32,24,0.6
0,1,kg_3features_base,kg_base_al,32,32,26,0.684210526316
0,1,kg_base_rag,kg_3features_rag,32,32,25,0.641025641026
0,1,kg_base_rag,kg_base_al,32,32,28,0.777777777778
0,1,kg_3features_rag,kg_base_al,32,32,24,0.6
0,2,random,fitness_direct,32,32,32,1
0,2,random,agent_only,32,32,0,0
0,2,random,kg_base,32,32,0,0
0,2,random,kg_3features_base,32,32,0,0
0,2,random,kg_base_rag,32,32,0,0
0,2,random,kg_3features_rag,32,32,0,0
0,2,random,kg_base_al,32,32,0,0
0,2,fitness_direct,agent_only,32,32,0,0
0,2,fitness_direct,kg_base,32,32,0,0
0,2,fitness_direct,kg_3features_base,32,32,0,0
0,2,fitness_direct,kg_base_rag,32,32,0,0
0,2,fitness_direct,kg_3features_rag,32,32,0,0
0,2,fitness_direct,kg_base_al,32,32,0,0
0,2,agent_only,kg_base,32,32,2,0.0322580645161
0,2,agent_only,kg_3features_base,32,32,3,0.0491803278689
0,2,agent_only,kg_base_rag,32,32,9,0.163636363636
0,2,agent_only,kg_3features_rag,32,32,7,0.122807017544
0,2,agent_only,kg_base_al,32,32,3,0.0491803278689
0,2,kg_base,kg_3features_base,32,32,7,0.122807017544
0,2,kg_base,kg_base_rag,32,32,6,0.103448275862
0,2,kg_base,kg_3features_rag,32,32,6,0.103448275862
0,2,kg_base,kg_base_al,32,32,8,0.142857142857
0,2,kg_3features_base,kg_base_rag,32,32,16,0.333333333333
0,2,kg_3features_base,kg_3features_rag,32,32,17,0.36170212766
0,2,kg_3features_base,kg_base_al,32,32,13,0.254901960784
0,2,kg_base_rag,kg_3features_rag,32,32,26,0.684210526316
0,2,kg_base_rag,kg_base_al,32,32,13,0.254901960784
0,2,kg_3features_rag,kg_base_al,32,32,13,0.254901960784
0,3,random,fitness_direct,32,32,32,1
0,3,random,agent_only,32,32,0,0
0,3,random,kg_base,32,32,0,0
0,3,random,kg_3features_base,32,32,0,0
0,3,random,kg_base_rag,32,32,0,0
0,3,random,kg_3features_rag,32,32,0,0
0,3,random,kg_base_al,32,32,0,0
0,3,fitness_direct,agent_only,32,32,0,0
0,3,fitness_direct,kg_base,32,32,0,0
0,3,fitness_direct,kg_3features_base,32,32,0,0
