condition_a,condition_b,mean_jaccard,sd_jaccard,min_jaccard,max_jaccard,n_fold_round_pairs
random,fitness_direct,1,0,1,1,9
random,agent_only,0,0,0,0,9
random,kg_base,0,0,0,0,9
random,kg_3features_base,0,0,0,0,9
random,kg_base_rag,0,0,0,0,9
random,kg_3features_rag,0,0,0,0,9
random,kg_base_al,0,0,0,0,9
fitness_direct,agent_only,0,0,0,0,9
fitness_direct,kg_base,0,0,0,0,9
fitness_direct,kg_3features_base,0,0,0,0,9
fitness_direct,kg_base_rag,0,0,0,0,9
fitness_direct,kg_3features_rag,0,0,0,0,9
fitness_direct,kg_base_al,0,0,0,0,9
agent_only,kg_base,0.106441957829,0.124542097377,0,0.333333333333,9
agent_only,kg_3features_base,0.075992583853,0.0653492468971,0,0.207547169811,9
agent_only,kg_base_rag,0.112300521337,0.0940184526023,0,0.28,9
agent_only,kg_3features_rag,0.0994434323567,0.0534451205751,0.015873015873,0.185185185185,9
agent_only,kg_base_al,0.0846283870067,0.0911266415349,0.015873015873,0.30612244898,9
kg_base,kg_3features_base,0.0814093450337,0.0774637228144,0,0.207547169811,9
kg_base,kg_base_rag,0.0984888059261,0.0658184597411,0.015873015873,0.207547169811,9
kg_base,kg_3features_rag,0.127681994259,0.110878576998,0,0.333333333333,9
kg_base,kg_base_al,0.163937710826,0.170201788669,0,0.560975609756,9
kg_3features_base,kg_base_rag,0.165264711598,0.184766518628,0,0.560975609756,9
kg_3features_base,kg_3features_rag,0.213425269164,0.178807251525,0,0.6,9
kg_3features_base,kg_base_al,0.181034136489,0.203357259823,0,0.684210526316,9
kg_base_rag,kg_3features_rag,0.270040087294,0.244673872985,0.0491803278689,0.684210526316,9
kg_base_rag,kg_base_al,0.207947709105,0.236851206376,0,0.777777777778,9
kg_3features_rag,kg_base_al,0.221780650908,0.172332154322,0.015873015873,0.6,9
