condition,fold,round_id,channel,feature_step_executed,critic_disposition,request_started,analysis_summary,finding_count,candidate_hypothesis_count,evidence_id_count,fact_id_count,covered_sample_count,subscientist_conversation_count,accepted_conversation_count
kg_3features_base,0,1,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,0,1,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,10,2,2
kg_3features_base,0,1,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,0,2,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,10,0,10,2,2
kg_3features_base,0,2,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,4,16,10,2,2
kg_3features_base,0,2,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,10,0,10,2,2
kg_3features_base,0,3,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,0,3,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,10,3,2
kg_3features_base,0,3,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,7,0,10,2,2
kg_3features_base,1,1,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,6,0,10,2,2
kg_3features_base,1,1,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,10,2,2
kg_3features_base,1,1,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,6,0,8,0,10,3,2
kg_3features_base,1,2,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,6,0,10,2,2
kg_3features_base,1,2,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,10,2,2
kg_3features_base,1,2,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,1,3,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,0,10,2,2
kg_3features_base,1,3,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,10,3,2
kg_3features_base,1,3,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,2,1,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,8,0,10,2,2
kg_3features_base,2,1,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,10,2,2
kg_3features_base,2,1,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,2,2,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,9,0,10,2,2
kg_3features_base,2,2,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,10,3,2
kg_3features_base,2,2,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_base,2,3,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,3,2
kg_3features_base,2,3,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,3,24,10,3,2
kg_3features_base,2,3,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,7,0,10,2,2
kg_3features_rag,0,1,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_rag,0,1,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,10,2,2
kg_3features_rag,0,1,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,7,0,10,2,2
kg_3features_rag,0,2,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,9,0,9,2,2
kg_3features_rag,0,2,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,4,16,9,2,2
kg_3features_rag,0,2,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,9,0,9,2,2
kg_3features_rag,0,3,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_rag,0,3,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,10,3,2
kg_3features_rag,0,3,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_rag,1,1,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_rag,1,1,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,10,2,2
kg_3features_rag,1,1,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,7,0,10,2,2
kg_3features_rag,1,2,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,9,0,10,2,2
kg_3features_rag,1,2,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,10,2,2
kg_3features_rag,1,2,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,2,2
kg_3features_rag,1,3,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,3,2
kg_3features_rag,1,3,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,5,24,10,3,2
kg_3features_rag,1,3,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,6,0,8,0,10,3,2
kg_3features_rag,2,1,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,7,0,10,2,2
kg_3features_rag,2,1,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,10,2,2
kg_3features_rag,2,1,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 10 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,10,3,2
kg_3features_rag,2,2,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,5,0,8,0,9,2,2
kg_3features_rag,2,2,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,5,24,9,3,2
kg_3features_rag,2,2,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,9,2,2
kg_3features_rag,2,3,conservation,True,APPROVED,True,Aggregated 2 conservation sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,8,0,8,0,9,2,2
kg_3features_rag,2,3,physchem,True,APPROVED,True,Aggregated 2 physchem sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,4,24,9,3,2
kg_3features_rag,2,3,structure,True,APPROVED,True,Aggregated 2 structure sample batches covering 9 samples. The bounded findings below are representative; complete sample-local analyses remain in typed batch artifacts.,7,0,8,0,9,2,2
