fold,metric,feature_effect_without_rag,feature_effect_with_rag,rag_effect_without_features,rag_effect_with_features,feature_by_rag_interaction
0,final_best_seen,-0.95218910905,0,-0.95218910905,0,0.95218910905
0,r3_batch_mean,0.133393553116,-0.214048746583,0.666242575412,0.318800275713,-0.347442299698
0,r3_batch_median,0.108489265258,0.205299437995,1.34123393624,1.43804410898,0.0968101727369
0,best_seen_aulc,0.234334953952,0,0.234334953952,0,-0.234334953952
1,final_best_seen,0.69673277195,0,0,-0.69673277195,-0.69673277195
1,r3_batch_mean,0.432897031103,0.0451231272983,-0.246786853331,-0.634560757136,-0.387773903805
1,r3_batch_median,1.02071380649,0.0052114686955,-0.181883996854,-1.19738633464,-1.01550233779
1,best_seen_aulc,-0.130429874255,0.06052367966,0.135992889737,0.326946443652,0.190953553915
2,final_best_seen,1.04850535753,0,0,-1.04850535753,-1.04850535753
2,r3_batch_mean,-0.385579308646,0.171540252248,0.181566688135,0.738686249029,0.557119560894
2,r3_batch_median,-0.826886648286,-0.104382160015,0.543485125646,1.26598961392,0.722504488271
2,best_seen_aulc,0.551459001658,-0.22918471569,0,-0.780643717348,-0.780643717348
