metric,effect,mean_delta,sd_delta,min_delta,max_delta,positive_folds,zero_folds,negative_folds,n
final_best_seen,feature_effect_without_rag,0.264349673477,1.06813432912,-0.95218910905,1.04850535753,2,0,1,3
final_best_seen,feature_effect_with_rag,0,0,0,0,0,3,0,3
final_best_seen,rag_effect_without_features,-0.317396369683,0.549746638429,-0.95218910905,0,0,2,1,3
final_best_seen,rag_effect_with_features,-0.58174604316,0.533626584833,-1.04850535753,0,0,1,2,3
final_best_seen,feature_by_rag_interaction,-0.264349673477,1.06813432912,-1.04850535753,0.95218910905,1,0,2,3
r3_batch_mean,feature_effect_without_rag,0.0602370918578,0.414113246045,-0.385579308646,0.432897031103,2,0,1,3
r3_batch_mean,feature_effect_with_rag,0.000871544321149,0.196566454289,-0.214048746583,0.171540252248,2,0,1,3
r3_batch_mean,rag_effect_without_features,0.200340803405,0.456804153868,-0.246786853331,0.666242575412,2,0,1,3
r3_batch_mean,rag_effect_with_features,0.140975255869,0.703681844477,-0.634560757136,0.738686249029,2,0,1,3
r3_batch_mean,feature_by_rag_interaction,-0.0593655475367,0.534272473799,-0.387773903805,0.557119560894,1,0,2,3
r3_batch_median,feature_effect_without_rag,0.100772141153,0.923824401941,-0.826886648286,1.02071380649,2,0,1,3
r3_batch_median,feature_effect_with_rag,0.0353762488918,0.157029005313,-0.104382160015,0.205299437995,2,0,1,3
r3_batch_median,rag_effect_without_features,0.567611688346,0.761845540646,-0.181883996854,1.34123393624,2,0,1,3
r3_batch_median,rag_effect_with_features,0.502215796085,1.47441047182,-1.19738633464,1.43804410898,2,0,1,3
r3_batch_median,feature_by_rag_interaction,-0.065395892261,0.880284066368,-1.01550233779,0.722504488271,2,0,1,3
best_seen_aulc,feature_effect_without_rag,0.218454693785,0.341221697392,-0.130429874255,0.551459001658,2,0,1,3
best_seen_aulc,feature_effect_with_rag,-0.0562203453433,0.152817813121,-0.22918471569,0.06052367966,1,1,1,3
best_seen_aulc,rag_effect_without_features,0.123442614563,0.117670513367,0,0.234334953952,2,1,0,3
best_seen_aulc,rag_effect_with_features,-0.151232424566,0.569071547229,-0.780643717348,0.326946443652,1,1,1,3
best_seen_aulc,feature_by_rag_interaction,-0.274675039128,0.487053186249,-0.780643717348,0.190953553915,1,0,2,3
