condition,fold,seed,assignment_sha256,run_id,initial_best_seen,final_best_seen,delta_best_seen,best_seen_aulc,r3_batch_best,r3_batch_mean,r3_batch_median,queries_used,final_visible_observations,selection_driver,active_learning_module,fitness_predictors_used_for_generation,spearman,pearson,mse,rmse,ndcg,top_k_hit,top_k_recall,regret_at_k,interval_90_coverage,gaussian_nll,n,interval_90_coverage_error
agent_only,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z,4.07312564853,4.4857497292,0.41262408067,4.27943768887,4.33564342865,1.9093858925,2.27425512883,48,144,agent_uq,,False,0.197905297464,0.163450555426,0.710984774219,0.843199130822,0.670180780591,0,0,5.06604520418,0.872040490506,0.375725460675,29439,0.0279595094942
agent_only,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z,4.07312564853,4.4857497292,0.41262408067,4.27943768887,4.14772078849,1.00917453235,0.0825905408117,48,144,agent_uq,,False,0.283273016389,0.244337522129,0.531817576147,0.729258236941,0.719339990648,0,0,5.27773164489,0.960732361833,0.216270097939,29439,0.0607323618329
agent_only,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z,4.07312564853,4.38774529032,0.31461964179,4.23624887541,4.38774529032,2.04932969173,2.40981536962,48,144,agent_uq,,False,0.241454759706,0.190441771331,1.17616529311,1.08451154586,0.711344112926,0,0,3.06891345707,0.74897245151,0.72406477723,29439,0.15102754849
fitness_direct,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,4.07312564853,4.07312564853,0,4.07312564853,1.76126924027,0.166319597368,0.00966840523593,48,144,predictor,,True,0.216880344997,0.197809345786,0.20130509473,0.448670363106,0.682800394867,0,0,3.58150912295,0.979618872924,-0.169773905957,29439,0.0796188729237
fitness_direct,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,4.07312564853,4.07312564853,0,4.07312564853,0.294861112701,0.0395255500683,0.00746003826702,48,144,predictor,,True,0.217947268121,0.174653525771,0.278818841428,0.528032992746,0.671734225656,0,0,5.34519746686,0.975067087877,-0.0934013962434,29439,0.0750670878766
fitness_direct,2,42,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z,4.07312564853,4.07312564853,0,4.07312564853,1.22656057209,0.14794628241,0.00616105899356,48,144,predictor,,True,0.270140529879,0.237695146823,0.178713317342,0.422744979085,0.716525355969,1,0.1,1.78263097693,0.981487142906,-0.207850463917,29439,0.0814871429057
kg_3features_base,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_base-f00-20260821T110701100360Z,4.07312564853,5.07529943739,1.00217378886,4.90827047258,4.02906611368,1.26631543097,0.442067102318,48,144,agent_uq,,False,0.227029793612,0.202201114865,0.856950824934,0.925716384717,0.691584757337,0,0,4.73518665671,0.934644519175,0.433019481876,29439,0.0346445191752
kg_3features_base,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_base-f01-20260821T110701144423Z,4.07312564853,5.77203220934,1.69890656081,4.58132402893,5.77203220934,1.49401737732,1.45985337592,48,144,agent_uq,,False,0.113489452386,0.0993117876098,0.414009021148,0.643435327867,0.648972334264,0,0,3.53271935031,0.971704201909,0.160698364654,29439,0.071704201909
kg_3features_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z,4.07312564853,6.12380479492,2.05067914639,5.45972947424,5.44604035341,0.883446410923,0.150647081553,48,144,agent_uq,,False,0.299227375466,0.30236413512,0.333572128538,0.577557034879,0.734051251144,1,0.1,1.88275041059,0.975576616054,0.253182652651,29439,0.0755766160535
kg_3features_rag,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_rag-f00-20260821T102504288673Z,4.07312564853,5.07529943739,1.00217378886,4.90827047258,3.7035178707,1.58511570668,1.8801112113,48,144,agent_uq,,False,0.244045497688,0.238172687313,0.403457344864,0.635182922365,0.707567363337,0,0,4.73518665671,0.979279187472,0.144632617821,29439,0.0792791874724
