condition,metric,direction,mean,sd,n
random,final_best_seen,higher,4.07312564853,0,3
random,delta_best_seen,higher,0,0,3
random,best_seen_aulc,higher,4.07312564853,0,3
random,r3_batch_best,higher,1.09423030835,0.742106241165,3
random,r3_batch_mean,higher,0.110187168628,0.0573102822294,3
random,r3_batch_median,higher,0.00404247152827,0.000634262955701,3
random,spearman,higher,0.216125630232,0.0131166003107,3
random,pearson,higher,0.185204193798,0.0146340926892,3
random,mse,lower,0.171787605737,0.00689878013681,3
random,rmse,lower,0.414416459839,0.00836094054576,3
random,ndcg,higher,0.674453979425,0.010403445135,3
random,top_k_hit,higher,0.333333333333,0.57735026919,3
random,top_k_recall,higher,0.0333333333333,0.057735026919,3
random,regret_at_k,lower,3.56977918891,1.78131221079,3
random,interval_90_coverage_error,lower,0.0786564308117,0.0020835579385,3
random,gaussian_nll,lower,-0.249886872025,0.0317021184602,3
fitness_direct,final_best_seen,higher,4.07312564853,0,3
fitness_direct,delta_best_seen,higher,0,0,3
fitness_direct,best_seen_aulc,higher,4.07312564853,0,3
fitness_direct,r3_batch_best,higher,1.09423030835,0.742106241165,3
fitness_direct,r3_batch_mean,higher,0.117930476615,0.0685192969591,3
fitness_direct,r3_batch_median,higher,0.00776316749884,0.001773213161,3
fitness_direct,spearman,higher,0.234989380999,0.0304464617311,3
fitness_direct,pearson,higher,0.203386006127,0.0318886476918,3
fitness_direct,mse,lower,0.219612417833,0.0525037860308,3
fitness_direct,rmse,lower,0.466482778312,0.0548575706422,3
fitness_direct,ndcg,higher,0.690353325497,0.0233312324903,3
fitness_direct,top_k_hit,higher,0.333333333333,0.57735026919,3
fitness_direct,top_k_recall,higher,0.0333333333333,0.057735026919,3
fitness_direct,regret_at_k,lower,3.56977918891,1.78131221079,3
fitness_direct,interval_90_coverage_error,lower,0.078724367902,0.00330217823101,3
fitness_direct,gaussian_nll,lower,-0.157008588706,0.0582826068927,3
agent_only,final_best_seen,higher,4.45308158291,0.0565828891691,3
agent_only,delta_best_seen,higher,0.379955934377,0.0565828891691,3
agent_only,best_seen_aulc,higher,4.26504141772,0.0249350730713,3
agent_only,r3_batch_best,higher,4.29036983582,0.126254560415,3
agent_only,r3_batch_mean,higher,1.6559633722,0.564489078059,3
agent_only,r3_batch_median,higher,1.58888701309,1.30625071924,3
agent_only,spearman,higher,0.240877691186,0.0426867850123,3
agent_only,pearson,higher,0.199409949629,0.0411824782169,3
agent_only,mse,lower,0.806322547826,0.332585272369,3
agent_only,rmse,lower,0.885656304542,0.181392356717,3
agent_only,ndcg,higher,0.700288294722,0.0263785958776,3
agent_only,top_k_hit,higher,0,0,3
agent_only,top_k_recall,higher,0,0,3
agent_only,regret_at_k,lower,4.47089676871,1.21875784793,3
agent_only,interval_90_coverage_error,lower,0.0799064732724,0.0637351588034,3
agent_only,gaussian_nll,lower,0.438686778615,0.259686262144,3
kg_base,final_best_seen,higher,5.39269580707,0.549746638429,3
kg_base,delta_best_seen,higher,1.31957015854,0.549746638429,3
kg_base,best_seen_aulc,higher,4.76465329813,0.125805314475,3
kg_base,r3_batch_best,higher,4.52631250565,1.31180187587,3
kg_base,r3_batch_mean,higher,1.15435598122,0.105597001173,3
kg_base,r3_batch_median,higher,0.583417045446,0.345371959665,3
kg_base,spearman,higher,0.242712434709,0.0493040808774,3
kg_base,pearson,higher,0.240539160846,0.0713936627625,3
kg_base,mse,lower,0.356599118092,0.147627789758,3
kg_base,rmse,lower,0.588576285698,0.123554081309,3
kg_base,ndcg,higher,0.707397387771,0.035034672527,3
kg_base,top_k_hit,higher,0,0,3
kg_base,top_k_recall,higher,0,0,3
kg_base,regret_at_k,lower,4.13962203459,1.10595055094,3
kg_base,interval_90_coverage_error,lower,0.0742631656419,0.0135535913953,3
kg_base,gaussian_nll,lower,0.138814363472,0.0790685299477,3
kg_3features_base,final_best_seen,higher,5.65704548055,0.533626584833,3
kg_3features_base,delta_best_seen,higher,1.58391983202,0.533626584833,3
kg_3features_base,best_seen_aulc,higher,4.98310799192,0.443958919623,3
kg_3features_base,r3_batch_best,higher,5.08237955881,0.926644259035,3
kg_3features_base,r3_batch_mean,higher,1.21459307307,0.308554092475,3
kg_3features_base,r3_batch_median,higher,0.684189186599,0.687366429263,3
kg_3features_base,spearman,higher,0.213248873821,0.093632683024,3
kg_3features_base,pearson,higher,0.201292345865,0.101529224134,3
kg_3features_base,mse,lower,0.53484399154,0.281837067315,3
kg_3features_base,rmse,lower,0.715569582488,0.184949307209,3
kg_3features_base,ndcg,higher,0.691536114248,0.0425394792982,3
kg_3features_base,top_k_hit,higher,0.333333333333,0.57735026919,3
kg_3features_base,top_k_recall,higher,0.0333333333333,0.057735026919,3
kg_3features_base,regret_at_k,lower,3.3835521392,1.43205665991,3
kg_3features_base,interval_90_coverage_error,lower,0.0606417790459,0.0225973900797,3
kg_3features_base,gaussian_nll,lower,0.282300166394,0.13847588211,3
kg_base_rag,final_best_seen,higher,5.07529943739,0,3
kg_base_rag,delta_best_seen,higher,1.00217378886,0,3
kg_base_rag,best_seen_aulc,higher,4.88809591269,0.034943362744,3
kg_base_rag,r3_batch_best,higher,3.89624582052,0.672303263453,3
kg_base_rag,r3_batch_mean,higher,1.35469678462,0.499369585602,3
kg_base_rag,r3_batch_median,higher,1.15102873379,0.777840544818,3
kg_base_rag,spearman,higher,0.208388720048,0.0278400866719,3
kg_base_rag,pearson,higher,0.223971040349,0.0342455991671,3
kg_base_rag,mse,lower,0.486666389583,0.31420032158,3
kg_base_rag,rmse,lower,0.674783358022,0.216796480552,3
kg_base_rag,ndcg,higher,0.714059594145,0.0157140344058,3
kg_base_rag,top_k_hit,higher,0.333333333333,0.57735026919,3
kg_base_rag,top_k_recall,higher,0.0333333333333,0.057735026919,3
kg_base_rag,regret_at_k,lower,3.51285907435,1.07169279956,3
kg_base_rag,interval_90_coverage_error,lower,0.0648085872482,0.0271154110949,3
kg_base_rag,gaussian_nll,lower,0.22065907197,0.17457427632,3
kg_3features_rag,final_best_seen,higher,5.07529943739,0,3
