comparison_id,condition,reference,metric,mean_delta,sd_delta,min_delta,max_delta,positive_folds,zero_folds,negative_folds,n
kg_memory,kg_base,agent_only,final_best_seen,0.939614224167,0.523752552927,0.58954970819,1.54173881724,3,0,0,3
kg_memory,kg_base,agent_only,r3_batch_mean,-0.501607390981,0.479394982525,-0.780303972165,0.0519458138715,1,0,2,3
kg_memory,kg_base,agent_only,r3_batch_median,-1.00546996764,1.20662270176,-1.94067729177,0.356549028627,1,0,2,3
kg_memory,kg_base,agent_only,best_seen_aulc,0.499611880416,0.150503788573,0.394497829763,0.672021597165,3,0,0,3
three_channels_without_rag,kg_3features_base,kg_base,final_best_seen,0.264349673477,1.06813432912,-0.95218910905,1.04850535753,2,0,1,3
three_channels_without_rag,kg_3features_base,kg_base,r3_batch_mean,0.0602370918578,0.414113246045,-0.385579308646,0.432897031103,2,0,1,3
three_channels_without_rag,kg_3features_base,kg_base,r3_batch_median,0.100772141153,0.923824401941,-0.826886648286,1.02071380649,2,0,1,3
three_channels_without_rag,kg_3features_base,kg_base,best_seen_aulc,0.218454693785,0.341221697392,-0.130429874255,0.551459001658,2,0,1,3
rag_without_three_channels,kg_base_rag,kg_base,final_best_seen,-0.317396369683,0.549746638429,-0.95218910905,0,0,2,1,3
rag_without_three_channels,kg_base_rag,kg_base,r3_batch_mean,0.200340803405,0.456804153868,-0.246786853331,0.666242575412,2,0,1,3
rag_without_three_channels,kg_base_rag,kg_base,r3_batch_median,0.567611688346,0.761845540646,-0.181883996854,1.34123393624,2,0,1,3
rag_without_three_channels,kg_base_rag,kg_base,best_seen_aulc,0.123442614563,0.117670513367,0,0.234334953952,2,1,0,3
three_channels_with_rag,kg_3features_rag,kg_base_rag,final_best_seen,0,0,0,0,0,3,0,3
three_channels_with_rag,kg_3features_rag,kg_base_rag,r3_batch_mean,0.000871544321149,0.196566454289,-0.214048746583,0.171540252248,2,0,1,3
three_channels_with_rag,kg_3features_rag,kg_base_rag,r3_batch_median,0.0353762488918,0.157029005313,-0.104382160015,0.205299437995,2,0,1,3
three_channels_with_rag,kg_3features_rag,kg_base_rag,best_seen_aulc,-0.0562203453433,0.152817813121,-0.22918471569,0.06052367966,1,1,1,3
rag_with_three_channels,kg_3features_rag,kg_3features_base,final_best_seen,-0.58174604316,0.533626584833,-1.04850535753,0,0,1,2,3
rag_with_three_channels,kg_3features_rag,kg_3features_base,r3_batch_mean,0.140975255869,0.703681844477,-0.634560757136,0.738686249029,2,0,1,3
rag_with_three_channels,kg_3features_rag,kg_3features_base,r3_batch_median,0.502215796085,1.47441047182,-1.19738633464,1.43804410898,2,0,1,3
rag_with_three_channels,kg_3features_rag,kg_3features_base,best_seen_aulc,-0.151232424566,0.569071547229,-0.780643717348,0.326946443652,1,1,1,3
active_learning,kg_base_al,kg_base,final_best_seen,-0.266080747013,0.599152253509,-0.95218910905,0.15394686801,1,1,1,3
active_learning,kg_base_al,kg_base,r3_batch_mean,0.725361341642,0.382163967432,0.284530372809,0.963107166271,3,0,0,3
active_learning,kg_base_al,kg_base,r3_batch_median,1.47192982292,0.553063230443,0.8502213661,1.90922725165,3,0,0,3
active_learning,kg_base_al,kg_base,best_seen_aulc,0.152169778228,0.111182354166,0.025657811335,0.234334953952,3,0,0,3
