condition,round_id,query_budget,metric,mean,sd,n
agent_only,0,0,best_seen_fitness,4.07312564853,0,3
agent_only,0,0,visible_mean_fitness,0.596386068846,0,3
agent_only,1,16,best_seen_fitness,4.12846895849,0.0958574247098,3
agent_only,1,16,visible_mean_fitness,0.783156571935,0.0205362366908,3
agent_only,1,16,batch_best_fitness,4.04696725035,0.166439974411,3
agent_only,1,16,batch_mean_fitness,1.90377959047,0.143753656835,3
agent_only,1,16,batch_median_fitness,2.14678439818,0.235557357293,3
agent_only,2,32,best_seen_fitness,4.40355167894,0.142371199339,3
agent_only,2,32,visible_mean_fitness,0.923488822106,0.0453364737658,3
agent_only,2,32,batch_best_fitness,4.11011594572,0.650616798021,3
agent_only,2,32,batch_mean_fitness,1.90581457331,0.231924804537,3
agent_only,2,32,batch_median_fitness,1.96474553081,0.348327831097,3
agent_only,3,48,best_seen_fitness,4.45308158291,0.0565828891691,3
agent_only,3,48,visible_mean_fitness,1.00487488323,0.0435320199438,3
agent_only,3,48,batch_best_fitness,4.29036983582,0.126254560415,3
agent_only,3,48,batch_mean_fitness,1.6559633722,0.564489078059,3
agent_only,3,48,batch_median_fitness,1.58888701309,1.30625071924,3
fitness_direct,0,0,best_seen_fitness,4.07312564853,0,3
fitness_direct,0,0,visible_mean_fitness,0.596386068846,0,3
fitness_direct,1,16,best_seen_fitness,4.07312564853,0,3
fitness_direct,1,16,visible_mean_fitness,0.544110881197,0.0148801068853,3
fitness_direct,1,16,batch_best_fitness,2.42657402638,1.00672207893,3
fitness_direct,1,16,batch_mean_fitness,0.230459755302,0.104160748197,3
fitness_direct,1,16,batch_median_fitness,0.00569813320096,0.00175188154699,3
fitness_direct,2,32,best_seen_fitness,4.07312564853,0,3
fitness_direct,2,32,visible_mean_fitness,0.492967894592,0.0144010925772,3
fitness_direct,2,32,batch_best_fitness,1.40729557467,1.91417107214,3
fitness_direct,2,32,batch_mean_fitness,0.134966988354,0.17493926258,3
fitness_direct,2,32,batch_median_fitness,0.00490912423613,0.00183397909078,3
fitness_direct,3,48,best_seen_fitness,4.07312564853,0,3
fitness_direct,3,48,visible_mean_fitness,0.451297070372,0.0075837721956,3
fitness_direct,3,48,batch_best_fitness,1.09423030835,0.742106241165,3
fitness_direct,3,48,batch_mean_fitness,0.117930476615,0.0685192969591,3
fitness_direct,3,48,batch_median_fitness,0.00776316749884,0.001773213161,3
kg_3features_base,0,0,best_seen_fitness,4.07312564853,0,3
kg_3features_base,0,0,visible_mean_fitness,0.596386068846,0,3
kg_3features_base,1,16,best_seen_fitness,4.85595375737,0.452446176513,3
kg_3features_base,1,16,visible_mean_fitness,0.813223813495,0.0945187668701,3
kg_3features_base,1,16,batch_best_fitness,4.85595375737,0.452446176513,3
kg_3features_base,1,16,batch_mean_fitness,2.11425028139,0.66163136809,3
kg_3features_base,1,16,batch_median_fitness,2.00071891749,1.32819574575,3
kg_3features_base,2,32,best_seen_fitness,5.22828465384,0.829674307738,3
kg_3features_base,2,32,visible_mean_fitness,1.00231417851,0.00693926035897,3
kg_3features_base,2,32,batch_best_fitness,4.98173265092,0.99190703291,3
kg_3features_base,2,32,batch_mean_fitness,2.32594673362,0.606467732843,3
kg_3features_base,2,32,batch_median_fitness,2.41555809285,0.671097395532,3
kg_3features_base,3,48,best_seen_fitness,5.65704548055,0.533626584833,3
kg_3features_base,3,48,visible_mean_fitness,1.02590072235,0.0387896956549,3
kg_3features_base,3,48,batch_best_fitness,5.08237955881,0.926644259035,3
kg_3features_base,3,48,batch_mean_fitness,1.21459307307,0.308554092475,3
kg_3features_base,3,48,batch_median_fitness,0.684189186599,0.687366429263,3
kg_3features_rag,0,0,best_seen_fitness,4.07312564853,0,3
kg_3features_rag,0,0,visible_mean_fitness,0.596386068846,0,3
kg_3features_rag,1,16,best_seen_fitness,4.8461147217,0.396959571893,3
kg_3features_rag,1,16,visible_mean_fitness,0.861255994234,0.102020373744,3
kg_3features_rag,1,16,batch_best_fitness,4.8461147217,0.396959571893,3
kg_3features_rag,1,16,batch_mean_fitness,2.45047554656,0.714142616206,3
kg_3features_rag,1,16,batch_median_fitness,2.93502495658,1.03273952903,3
kg_3features_rag,2,32,best_seen_fitness,5.07529943739,0,3
kg_3features_rag,2,32,visible_mean_fitness,1.06197520975,0.0662185600501,3
kg_3features_rag,2,32,batch_best_fitness,4.63223086508,0.390979916611,3
kg_3features_rag,2,32,batch_mean_fitness,2.46700971833,0.1876407814,3
kg_3features_rag,2,32,batch_median_fitness,2.75800214477,0.233022539381,3
kg_3features_rag,3,48,best_seen_fitness,5.07529943739,0,3
kg_3features_rag,3,48,visible_mean_fitness,1.09459666743,0.0498648125476,3
kg_3features_rag,3,48,batch_best_fitness,3.92055003269,0.187955365719,3
kg_3features_rag,3,48,batch_mean_fitness,1.35556832894,0.430043816812,3
kg_3features_rag,3,48,batch_median_fitness,1.18640498268,0.833035501272,3
kg_base,0,0,best_seen_fitness,4.07312564853,0,3
kg_base,0,0,visible_mean_fitness,0.596386068846,0,3
kg_base,1,16,best_seen_fitness,4.6822662986,0.340376682724,3
kg_base,1,16,visible_mean_fitness,0.850255279562,0.0347714876847,3
kg_base,1,16,batch_best_fitness,4.6822662986,0.340376682724,3
kg_base,1,16,batch_mean_fitness,2.37347054386,0.243400413793,3
kg_base,1,16,batch_median_fitness,2.45665398385,0.206240831893,3
kg_base,2,32,best_seen_fitness,4.87878286799,0.340376682724,3
kg_base,2,32,visible_mean_fitness,0.952288941402,0.128189892327,3
kg_base,2,32,batch_best_fitness,4.15440464328,0.86506263901,3
kg_base,2,32,batch_mean_fitness,1.66652457428,0.801973653906,3
kg_base,2,32,batch_median_fitness,1.17801841088,1.42978012508,3
kg_base,3,48,best_seen_fitness,5.39269580707,0.549746638429,3
kg_base,3,48,visible_mean_fitness,0.974740834714,0.104199612293,3
kg_base,3,48,batch_best_fitness,4.52631250565,1.31180187587,3
kg_base,3,48,batch_mean_fitness,1.15435598122,0.105597001173,3
kg_base,3,48,batch_median_fitness,0.583417045446,0.345371959665,3
kg_base_al,0,0,best_seen_fitness,4.07312564853,0,3
kg_base_al,0,0,visible_mean_fitness,0.596386068846,0,3
kg_base_al,1,16,best_seen_fitness,5.07529943739,0,3
kg_base_al,1,16,visible_mean_fitness,0.987045722209,0.0241885273143,3
kg_base_al,1,16,batch_best_fitness,5.07529943739,0,3
kg_base_al,1,16,batch_mean_fitness,3.33100364238,0.1693196912,3
kg_base_al,1,16,batch_median_fitness,3.38215449061,0.133734594118,3
kg_base_al,2,32,best_seen_fitness,5.07529943739,0,3
kg_base_al,2,32,visible_mean_fitness,1.13414022727,0.0257493268254,3
kg_base_al,2,32,batch_best_fitness,4.18312903675,0.27429300659,3
kg_base_al,2,32,batch_mean_fitness,2.16380176268,0.210070429861,3
kg_base_al,2,32,batch_median_fitness,2.53757355145,0.0614382902989,3
kg_base_al,3,48,best_seen_fitness,5.12661506006,0.0888812656865,3
kg_base_al,3,48,visible_mean_fitness,1.21698212678,0.0417840666953,3
kg_base_al,3,48,batch_best_fitness,4.45035876054,0.740382506775,3
kg_base_al,3,48,batch_mean_fitness,1.87971732286,0.418301709699,3
kg_base_al,3,48,batch_median_fitness,2.05534686837,0.768163504579,3
kg_base_rag,0,0,best_seen_fitness,4.07312564853,0,3
kg_base_rag,0,0,visible_mean_fitness,0.596386068846,0,3
kg_base_rag,1,16,best_seen_fitness,5.01477575773,0.104830088232,3
kg_base_rag,1,16,visible_mean_fitness,0.819754381903,0.0956455769925,3
kg_base_rag,1,16,batch_best_fitness,5.01477575773,0.104830088232,3
kg_base_rag,1,16,batch_mean_fitness,2.15996426024,0.669519038947,3
kg_base_rag,1,16,batch_median_fitness,2.00222969307,1.02354054278,3
kg_base_rag,2,32,best_seen_fitness,5.07529943739,0,3
kg_base_rag,2,32,visible_mean_fitness,0.997527712845,0.0971896877838,3
kg_base_rag,2,32,batch_best_fitness,4.63223086508,0.390979916611,3
