condition,fold,seed,assignment_sha256,run_id,eligible,exclusion_reason,experiment_status,pass_eligible,completed_rounds,aborted_rounds,planned_batch_sizes,actual_batch_sizes,run_path
agent_only,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_base_agent_only\runs\knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z
agent_only,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_base_agent_only\runs\knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z
agent_only,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_base_agent_only\runs\knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z
fitness_direct,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\random-fitness-direct-s42-al96-collected-20260820T102640Z\runs\fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z
fitness_direct,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\random-fitness-direct-s42-al96-collected-20260820T102640Z\runs\fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z
fitness_direct,2,42,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\random-fitness-direct-s42-al96-collected-20260820T102640Z\runs\fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z
kg_3features_base,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_base-f00-20260821T110701100360Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_base_agent_only\runs\knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_base-f00-20260821T110701100360Z
kg_3features_base,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_base-f01-20260821T110701144423Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_base_agent_only\runs\knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_base-f01-20260821T110701144423Z
kg_3features_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_base_agent_only\runs\knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z
kg_3features_rag,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_rag-f00-20260820T215844659664Z,False,superseded_failed_run,failed,False,0,1,[16],[0],artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_rag-f00-20260820T215844659664Z
